Sample Rate,Accuracy,Write Precision,Write Recall,Eraor Precision,Eraor Recall,Unknown Precision,Unknown Recall
10,84.25944235712873,0.9771602588503997,0.8330358591595003,0.45252716107699575,0.7537372147915028,0.8858913598250091,0.9067164179104478
20,84.5377652470693,0.9799037645060855,0.8430879129799497,0.44530154277699857,0.7505910165484634,0.898876404494382,0.8955223880597015
30,85.14626691893466,0.9720578566732413,0.8476422531173857,0.4736617918500639,0.7736549165120594,0.9022075055187638,0.8970588235294118
40,85.50873790250758,0.9552803082130127,0.8617878256350289,0.4902572935730434,0.71818325185302,0.9001113999257334,0.9044776119402985
50,83.26241415480831,0.9792130660727543,0.8140388488273891,0.421276226807699,0.7662829206749724,0.9067164179104478,0.9067164179104478
60,83.89430451778911,0.9373492240665394,0.8456803157535693,0.48250293395924465,0.7134406057737813,0.8843867977423093,0.8828358208955224
70,84.68405166015141,0.9516802906448683,0.8509428752416067,0.475986459325082,0.7098122732292159,0.89261323784562,0.9022388059701493
80,85.82809639269632,0.9622080371391266,0.8618253285039064,0.495958460467855,0.7307935005521375,0.896399706098457,0.9104477611940298
90,83.8220594784502,0.9629907946646628,0.8325888869036984,0.44580509464828233,0.7523268654361887,0.9046177138531416,0.8917910447761194
100,83.46182393982879,0.9754962779156328,0.8173209674013676,0.4255669745457699,0.774096860703581,0.9166666666666666,0.9029850746268657
