,Date,timestamp,UserAccelerationX,UserAccelerationY,UserAccelerationZ,AttitudeRoll,AttitudePitch,AttitudeYaw,GravityX,GravityY,GravityZ,RotationRateX,RotationRateY,RotationRateZ
33,37:37.5,1730438818.0,-0.128356159,0.276290894,-0.28324461,-0.93958286,1.211948824,1.133859298,0.552535236,0.807312012,-0.20724915,-1.771211863,-0.540602744,0.425003558
34,37:37.5,1730438818.0,-0.156066954,0.324285924,-0.419397354,-0.941592177,1.228610989,1.159916943,0.554382443,0.808496118,-0.197469682,-1.264058709,-0.349499077,0.248226911
35,37:37.5,1730438818.0,-0.134127915,0.335958898,-0.552627087,-0.943435503,1.243103525,1.181365574,0.555774093,0.809579551,-0.188934863,-1.332021236,-0.231321841,0.288233429
36,37:37.6,1730438818.0,-0.133409262,0.219219387,-0.634929597,-0.944466476,1.263767586,1.209385857,0.558763266,0.8101843,-0.1771584,-1.864599347,-0.161560863,0.520162106
37,37:37.6,1730438818.0,-0.164844453,0.104426682,-0.731134236,-0.945640264,1.291142179,1.244759317,0.562488556,0.81087178,-0.161535412,-2.115529299,-0.112528071,0.421890169
38,37:37.6,1730438818.0,-0.21374011,0.052216649,-0.767409742,-0.947066276,1.318610371,1.279973526,0.565592587,0.81170553,-0.145737201,-1.837520361,-0.107586578,0.421985745
39,37:37.6,1730438818.0,-0.280256689,-0.022928417,-0.745658994,-0.945727618,1.337182669,1.303098503,0.569258213,0.810922921,-0.135459751,-0.664350629,0.143315956,0.460517436
40,37:37.6,1730438818.0,-0.277950108,0.07489717,-0.670636296,-0.941305345,1.342684125,1.305027931,0.573482335,0.808327317,-0.133135617,0.672960162,0.620513916,0.496275216
41,37:37.6,1730438818.0,-0.243875563,0.370106816,-0.571428418,-0.932370238,1.334158974,1.284571072,0.579324782,0.803034723,-0.139707416,2.082017899,0.967721105,0.669448078
42,37:37.6,1730438818.0,-0.184715331,0.739073217,-0.55039376,-0.919107811,1.31315003,1.244856026,0.586509824,0.795060813,-0.154547006,3.127120018,1.171511054,0.721225083
43,37:37.6,1730438818.0,-0.070377469,0.822654426,-0.6406762,-0.903552736,1.286586412,1.195011706,0.593998075,0.785530388,-0.173517466,3.530563354,1.391530514,0.651912093
44,37:37.6,1730438818.0,-0.027410448,0.618540108,-0.632225215,-0.88664154,1.26061948,1.142438198,0.60185802,0.774953485,-0.192909047,3.73477459,1.620401502,0.662272811
45,37:37.6,1730438819.0,-0.113486409,0.438095868,-0.607999563,-0.868342409,1.23831371,1.090742385,0.61070925,0.763259053,-0.210878596,3.684211493,1.88922286,0.735835135
46,37:37.7,1730438819.0,-0.252690375,0.344003916,-0.65977633,-0.849224622,1.221814922,1.042087183,0.620747626,0.750768423,-0.22587429,3.597933292,2.160613298,0.720323801
47,37:37.7,1730438819.0,-0.352032781,0.315910876,-0.62713176,-0.830687557,1.209481028,0.995312805,0.630826116,0.738395214,-0.238392502,3.587765455,2.34016943,0.577093959
48,37:37.7,1730438819.0,-0.333450854,0.317506731,-0.568502963,-0.812881177,1.19863347,0.947566609,0.640350878,0.726270735,-0.249963209,3.782976627,2.496945858,0.42311734
49,37:37.7,1730438819.0,-0.254977882,0.296114206,-0.470393121,-0.795045634,1.187881894,0.897014463,0.649539649,0.713895559,-0.261631995,4.089586258,2.641293049,0.302539259
50,37:37.7,1730438819.0,-0.216743648,0.26273644,-0.33299306,-0.776682528,1.175730398,0.841840525,0.658302426,0.700917125,-0.274505019,4.534093857,2.734562397,0.13550441
51,37:37.7,1730438819.0,-0.196472228,0.100109875,-0.041560292,-0.757792897,1.161791457,0.781832545,0.666442931,0.687319994,-0.288868755,4.920801163,2.82951498,-0.050048143
52,37:37.7,1730438819.0,-0.16866225,-0.088236451,0.168247312,-0.738565469,1.146490579,0.717032052,0.673865438,0.673227847,-0.304416656,5.321817875,2.919758797,-0.262653887
53,37:37.7,1730438819.0,-0.171028912,-0.088051796,0.16628623,-0.7185423,1.131138207,0.650170971,0.681176007,0.658288062,-0.32039997,5.375448704,2.921643257,-0.253936291
54,37:37.7,1730438819.0,-0.207396805,0.00123167,0.096856833,-0.698561114,1.119408598,0.588028452,0.689071059,0.643116474,-0.33403942,4.786030769,2.819551229,-0.222812563
55,37:37.7,1730438819.0,-0.195164502,0.120673656,0.09072271,-0.68237578,1.114852214,0.537416723,0.696797132,0.630638599,-0.341714472,3.600730419,2.737465382,-0.296394378
56,37:37.8,1730438819.0,-0.183104992,0.131310821,0.105010629,-0.67310842,1.119830294,0.502339501,0.703719616,0.623419404,-0.340774179,2.135034561,2.664341927,-0.439516485
57,37:37.8,1730438819.0,-0.218660951,-0.033968091,0.111922324,-0.671152885,1.133313476,0.481731819,0.709353149,0.621889234,-0.331770927,1.046890974,2.612447739,-0.596591294
58,37:37.8,1730438819.0,-0.263527632,-0.193013489,0.160939872,-0.673594813,1.15062341,0.467883362,0.713600874,0.623799682,-0.318822563,0.860445797,2.591996193,-0.751466393
59,37:37.8,1730438819.0,-0.299573839,-0.233528912,0.255696237,-0.676609198,1.165060326,0.449495746,0.71639818,0.626152813,-0.307743937,1.63789916,2.598825216,-0.949825287
60,37:37.8,1730438819.0,-0.299216688,-0.170985281,0.342657954,-0.676631503,1.170220087,0.417075376,0.717963576,0.626170218,-0.304037929,3.071228743,2.481043816,-1.009913683
61,37:37.8,1730438819.0,-0.258808494,-0.024606347,0.351774037,-0.670616592,1.163154746,0.367411182,0.719242454,0.62146914,-0.310590565,4.489591122,2.316217661,-0.923744142
62,37:37.8,1730438819.0,-0.19846034,0.167068183,0.239037246,-0.659493902,1.1483146,0.307646764,0.720814466,0.612716973,-0.32404393,4.859033108,2.092795134,-0.830557883
63,37:37.8,1730438819.0,-0.171557665,0.332886457,0.136227161,-0.648016811,1.135188632,0.2534499,0.722827196,0.603606403,-0.336422414,3.757319927,1.892706275,-0.658481419
64,37:37.8,1730438819.0,-0.178950191,0.371515691,0.184385777,-0.642257107,1.133057331,0.219783843,0.725245357,0.599004328,-0.339430302,1.53957057,1.741017938,-0.61234355
65,37:37.8,1730438819.0,-0.175132692,0.198183,0.343305558,-0.647077945,1.145113629,0.21134401,0.726646364,0.602857649,-0.329465777,-0.648982942,1.696337819,-0.860750735
66,37:37.9,1730438819.0,-0.225776851,-0.141022325,0.506314576,-0.661523205,1.168415161,0.221434894,0.72603631,0.614319444,-0.309003115,-1.819655776,1.740397692,-1.132127166
67,37:37.9,1730438819.0,-0.342558026,-0.43037039,0.558756948,-0.679257911,1.195298623,0.236926092,0.723829389,0.628215849,-0.285334617,-1.600779891,1.706547022,-1.201962352
68,37:37.9,1730438819.0,-0.417013466,-0.371773839,0.462526739,-0.693436958,1.2158735,0.243611269,0.721121192,0.639184177,-0.267260015,-0.295473278,1.555092335,-1.053340316
69,37:37.9,1730438819.0,-0.375555873,-0.020206869,0.29547298,-0.70041564,1.223843678,0.233421522,0.719015956,0.644535542,-0.259981006,1.271503568,1.357580781,-0.780165255
70,37:37.9,1730438819.0,-0.248863935,0.298037291,0.164087474,-0.700167176,1.219831695,0.207525256,0.718117476,0.644345522,-0.262918651,2.375822067,1.181686997,-0.539318621
71,37:37.9,1730438819.0,-0.134744048,0.433725536,0.101457,-0.695537833,1.209792606,0.174826807,0.718224883,0.64079845,-0.271165252,2.522138357,1.024968743,-0.353114635
72,37:37.9,1730438819.0,-0.101117492,0.391470075,0.110767335,-0.690366327,1.201408713,0.146245746,0.719006836,0.636819661,-0.278369844,1.894791126,0.959476769,-0.26947993
73,37:37.9,1730438819.0,-0.119339526,0.219790399,0.221930236,-0.687819945,1.198805512,0.127531436,0.719788074,0.634854317,-0.280829102,0.986165047,0.897777736,-0.324619085
74,37:37.9,1730438819.0,-0.14740026,0.011008143,0.283758968,-0.689257678,1.201631687,0.118441295,0.71972692,0.635964513,-0.278464109,0.264004648,0.819556713,-0.458776832
75,37:37.9,1730438819.0,-0.168334961,-0.140313864,0.290594637,-0.693616298,1.206994396,0.114775286,0.718612671,0.639322042,-0.273611546,0.007020262,0.71280551,-0.549085736
76,37:38.0,1730438819.0,-0.173794389,-0.136452556,0.25674814,-0.698706049,1.211767686,0.111937968,0.716854692,0.643227458,-0.269031465,0.068119258,0.617918372,-0.546684504
77,37:38.0,1730438819.0,-0.169660866,-0.033489108,0.163490742,-0.703042157,1.214721268,0.107493369,0.715025246,0.646541476,-0.265938193,0.276536644,0.550047994,-0.505560219
78,37:38.0,1730438819.0,-0.145281851,0.050239921,0.101736426,-0.706040947,1.215101204,0.100051131,0.713305593,0.648826301,-0.264990151,0.590475619,0.4897663,-0.44895345
79,37:38.0,1730438819.0,-0.088987112,0.034528553,0.14494428,-0.707398426,1.212448737,0.088955921,0.711774528,0.649858654,-0.266572028,0.869289935,0.417134702,-0.398127019
80,37:38.0,1730438819.0,-0.021791995,-0.01663512,0.204056352,-0.707680825,1.207701649,0.075752605,0.710329533,0.65007323,-0.269882679,0.982741952,0.343551576,-0.36791712
81,37:38.0,1730438819.0,0.006100118,0.010052264,0.159071743,-0.707540584,1.202116189,0.062215041,0.70889622,0.649966657,-0.273878872,0.925049365,0.309733957,-0.344304204
82,37:38.0,1730438819.0,-0.016405582,0.038651884,0.087425172,-0.707875818,1.197532157,0.050651632,0.707430422,0.650221407,-0.277046144,0.682389379,0.27459994,-0.360753119
83,37:38.0,1730438819.0,-0.037200153,0.000838399,0.056773067,-0.709426267,1.1946948,0.042230792,0.70570296,0.65139854,-0.278681606,0.397080153,0.256344497,-0.399231821
84,37:38.0,1730438819.0,-0.051441133,-0.027938426,0.068894416,-0.712243577,1.193727191,0.036806531,0.703723907,0.653533578,-0.278687507,0.168734729,0.256937593,-0.419328332
85,37:38.0,1730438819.0,-0.070007384,-0.030647576,0.10373053,-0.715767589,1.194407746,0.033844359,0.701767027,0.656196833,-0.277360201,0.001005388,0.264873266,-0.404058576
86,37:38.1,1730438819.0,-0.096129954,0.004981697,0.105690271,-0.719859575,1.196234239,0.032435171,0.69976759,0.659279108,-0.275093257,-0.091808155,0.291223645,-0.435910285
87,37:38.1,1730438819.0,-0.125731289,0.025796294,0.110086054,-0.72435126,1.198525983,0.031240161,0.697630703,0.662649751,-0.272408992,-0.03813374,0.322317123,-0.461732835
88,37:38.1,1730438819.0,-0.145936489,-0.004614413,0.129454046,-0.728453884,1.199793321,0.028336707,0.695435941,0.665716708,-0.270536751,0.139256671,0.318168998,-0.455695778
89,37:38.1,1730438819.0,-0.137710452,-0.022170305,0.109877676,-0.731680067,1.19941555,0.023374538,0.693328679,0.668120623,-0.270018607,0.316409081,0.261396259,-0.417578489
90,37:38.1,1730438819.0,-0.091770411,0.017144918,0.07247746,-0.73394715,1.197319499,0.016418505,0.691349268,0.669805765,-0.270917982,0.473148972,0.253559649,-0.381915003
91,37:38.1,1730438819.0,-0.045073628,0.06597054,0.039908677,-0.735472228,1.194289357,0.008120874,0.689574361,0.670937419,-0.272635669,0.54490304,0.254867792,-0.359845132
92,37:38.1,1730438819.0,-0.033590853,0.077857614,-0.007685065,-0.73685125,1.19149164,4.94e-06,0.687948823,0.671959341,-0.274221003,0.452952445,0.279453814,-0.334389538
93,37:38.1,1730438819.0,-0.043977737,0.081475616,-0.018314958,-0.738519113,1.190434446,-0.005822051,0.686616957,0.673193574,-0.274531692,0.208708093,0.289248645,-0.299464047
94,37:38.1,1730438819.0,-0.042415082,0.054399431,0.002252996,-0.741049091,1.191738563,-0.00825055,0.685389996,0.675062239,-0.273004949,-0.057371121,0.300374001,-0.305502146
95,37:38.1,1730438819.0,-0.023335636,-0.004741788,0.014264435,-0.744526752,1.19488068,-0.00802166,0.684056401,0.677623868,-0.269986451,-0.202684373,0.30222252,-0.327231944
96,37:38.2,1730438819.0,-0.016496718,-0.051624656,0.027968705,-0.748362104,1.198330655,-0.007303707,0.682558179,0.680439413,-0.266677171,-0.156404808,0.28934294,-0.341374516
97,37:38.2,1730438819.0,-0.023309469,-0.039752662,0.037664354,-0.751781475,1.200504962,-0.008083497,0.680963337,0.682941139,-0.264348865,0.024073094,0.247296676,-0.337012798
98,37:38.2,1730438819.0,-0.018618405,0.006039798,0.037106484,-0.754373608,1.200381762,-0.011511957,0.679278195,0.684832335,-0.263790995,0.253578186,0.192373514,-0.327997893
99,37:38.2,1730438819.0,0.006027877,0.031899333,0.037524819,-0.755971963,1.197536395,-0.017933956,0.677504838,0.685996175,-0.265323281,0.497256637,0.116942666,-0.30779916
100,37:38.2,1730438819.0,0.037552655,0.03153944,0.044793278,-0.756445642,1.191984865,-0.027336413,0.67571938,0.686340749,-0.268960118,0.745022595,0.07017836,-0.287238926
101,37:38.2,1730438819.0,0.057450891,0.036359787,0.044698685,-0.755944165,1.184401787,-0.03931401,0.673979163,0.685975969,-0.274206042,0.894697011,0.061028272,-0.269603193
102,37:38.2,1730438819.0,0.050230861,0.048137009,0.040088475,-0.754857856,1.176416938,-0.052057725,0.672455907,0.685185134,-0.279865086,0.89000082,0.086961336,-0.236532062
103,37:38.2,1730438819.0,0.02620846,0.069845557,0.02873528,-0.753712728,1.16944334,-0.063525093,0.671209753,0.68435061,-0.284854025,0.721532404,0.092798181,-0.199408665
104,37:38.2,1730438819.0,0.021711707,0.070995092,0.01925534,-0.753015368,1.164542233,-0.07210098,0.670243859,0.683841944,-0.288328797,0.480844051,0.096825413,-0.166870192
105,37:38.2,1730438819.0,0.031311154,0.039687395,0.024127305,-0.752927076,1.161655557,-0.077789866,0.669463992,0.683777571,-0.290286332,0.307283431,0.099920809,-0.147589445
106,37:38.3,1730438819.0,0.023716629,0.01878351,0.034172773,-0.75311441,1.159998092,-0.081760969,0.668864608,0.683914244,-0.291344404,0.220416278,0.112046182,-0.117415354
107,37:38.3,1730438819.0,-0.007114887,0.029859304,0.030249029,-0.753263624,1.158936373,-0.085027871,0.668461263,0.684023082,-0.292013496,0.216323003,0.123187512,-0.102571428
108,37:38.3,1730438819.0,-0.026495993,0.048389673,0.043700904,-0.75312963,1.157562472,-0.08864721,0.668143332,0.683925331,-0.292968422,0.286539763,0.099247292,-0.081063636
109,37:38.3,1730438819.0,-0.025690079,0.050772071,0.065151751,-0.752436989,1.155317,-0.093238292,0.667917252,0.683419824,-0.294659197,0.379553348,0.082579903,-0.063269988
110,37:38.3,1730438819.0,-0.027201951,0.042890429,0.077193469,-0.751298977,1.152403041,-0.098661862,0.667765856,0.682588637,-0.296919942,0.429603696,0.073472425,-0.053149387
111,37:38.3,1730438819.0,-0.04010272,0.02110821,0.087483525,-0.750057863,1.14911791,-0.104589247,0.667559445,0.681681097,-0.299458623,0.46237576,0.080484793,-0.076992668
112,37:38.3,1730438819.0,-0.059705019,-0.008404255,0.094489306,-0.748976615,1.145498543,-0.111177382,0.667142093,0.680889606,-0.302176654,0.498452276,0.093790211,-0.12457218
113,37:38.3,1730438819.0,-0.082860827,-0.053702533,0.112990707,-0.748219824,1.141619265,-0.118259593,0.666433215,0.680335164,-0.304976732,0.508018911,0.091397628,-0.170027003
114,37:38.3,1730438819.0,-0.09771657,-0.110050142,0.126131624,-0.74792427,1.137318085,-0.125606105,0.665297687,0.680118501,-0.307924807,0.496687502,0.048350558,-0.228565201
115,37:38.3,1730438819.0,-0.092535853,-0.157905817,0.132163882,-0.748221372,1.132313493,-0.133210017,0.663565516,0.680336297,-0.311164737,0.492786497,-0.013200155,-0.300061733
116,37:38.4,1730438819.0,-0.084251881,-0.213668346,0.158382148,-0.749293036,1.126284815,-0.141489525,0.661018789,0.68112129,-0.314845711,0.519201577,-0.069728412,-0.416494936
117,37:38.4,1730438819.0,-0.081022441,-0.272686243,0.190336585,-0.751270503,1.118728179,-0.151066479,0.657407939,0.682567835,-0.319242775,0.581128061,-0.134752423,-0.549401343
118,37:38.4,1730438819.0,-0.087651432,-0.315680563,0.199094325,-0.754107011,1.109083278,-0.162549683,0.65256232,0.684638083,-0.324704647,0.683109999,-0.223570436,-0.706375062
119,37:38.4,1730438819.0,-0.098080635,-0.332502425,0.212618411,-0.757870208,1.096874603,-0.176521694,0.646252632,0.687376142,-0.331469059,0.787911296,-0.303446621,-0.885431886
120,37:38.4,1730438819.0,-0.11040169,-0.355710924,0.242128611,-0.762565433,1.081976293,-0.193140105,0.638386309,0.690778673,-0.33954072,0.930654049,-0.392528296,-1.067814469
121,37:38.4,1730438819.0,-0.11169827,-0.410705149,0.268474042,-0.767602211,1.063197092,-0.213818937,0.628849149,0.694411814,-0.349772841,1.230833054,-0.497096509,-1.242486477
122,37:38.4,1730438819.0,-0.091159463,-0.484163404,0.292285442,-0.771983141,1.039162526,-0.240391496,0.617633462,0.697557569,-0.363238752,1.670133233,-0.619642437,-1.414316773
123,37:38.4,1730438819.0,-0.07062608,-0.514309824,0.281901717,-0.774727047,1.008557715,-0.274061347,0.604607403,0.699521065,-0.380946487,2.141968966,-0.810863018,-1.568948984
124,37:38.4,1730438819.0,-0.067553699,-0.45740509,0.229196757,-0.77604506,0.972324429,-0.31280721,0.589648366,0.700462282,-0.402078778,2.314079523,-1.005899787,-1.679930329
125,37:38.4,1730438819.0,-0.071447313,-0.410666406,0.200599581,-0.777198863,0.933704299,-0.352604606,0.573034167,0.701285303,-0.424064517,2.130424738,-1.118577361,-1.813316107
126,37:38.5,1730438819.0,-0.073291302,-0.441314578,0.185619831,-0.780813197,0.896347131,-0.390179205,0.554812849,0.703857303,-0.443584859,1.685667396,-1.051056147,-2.039510012
127,37:38.5,1730438819.0,-0.090381145,-0.486994863,0.153621852,-0.787163724,0.860866326,-0.427015704,0.535327435,0.708354115,-0.460064113,1.577150106,-0.842754364,-2.26454401
128,37:38.5,1730438819.0,-0.144842386,-0.445798874,0.135369658,-0.793848234,0.825757044,-0.465814843,0.515356302,0.713056564,-0.475350738,1.605539441,-0.690864146,-2.352135658
129,37:38.5,1730438819.0,-0.206335306,-0.36867094,0.062594712,-0.80018778,0.791039272,-0.504469929,0.495321512,0.717486918,-0.489764482,1.378685474,-0.758433878,-2.284878969
130,37:38.5,1730438819.0,-0.192796081,-0.263300896,-0.033061445,-0.808337366,0.759070293,-0.537011309,0.475373626,0.723139763,-0.501087725,0.524730504,-0.944136083,-2.083265066
131,37:38.5,1730438819.0,-0.112349629,-0.172006488,-0.059385359,-0.822379376,0.735952526,-0.556913979,0.456801534,0.732767045,-0.504365861,-0.834493637,-0.752824485,-1.767825365
132,37:38.5,1730438819.0,-0.078119785,-0.136802077,-0.054495513,-0.843952945,0.726116537,-0.561721221,0.441217929,0.74727571,-0.496896088,-1.852918625,-0.492603242,-1.701099277
133,37:38.5,1730438819.0,-0.138459712,0.040028691,-0.176830292,-0.869234107,0.721089705,-0.564499285,0.426103175,0.763834834,-0.484760284,-1.560391665,-0.110362925,-1.810592294
134,37:38.5,1730438819.0,-0.301799417,0.32905829,-0.268269211,-0.889071106,0.717506213,-0.569865674,0.414317697,0.776486754,-0.474772692,-1.009301901,0.223309055,-1.343332529
135,37:38.5,1730438819.0,-0.426432073,0.395053566,-0.361204922,-0.902745668,0.715121722,-0.575799067,0.40618366,0.785030663,-0.467698276,-0.587743998,0.196668923,-0.998346925
136,37:38.6,1730438819.0,-0.270772427,0.595140576,-0.474638343,-0.911990234,0.712440446,-0.580597773,0.400166988,0.790723681,-0.463273644,-0.46304369,0.041522212,-0.696739018
137,37:38.6,1730438819.0,-0.06900239,0.742725134,-0.410063297,-0.919803991,0.710421904,-0.583578249,0.395189494,0.795482874,-0.459382445,-0.476960838,0.057078801,-0.614996493
138,37:38.6,1730438819.0,0.047302783,0.620448172,-0.30327028,-0.927282759,0.709946118,-0.585722344,0.391082227,0.799992502,-0.45504573,-0.512347639,0.200806409,-0.561214745
139,37:38.6,1730438819.0,-0.004478067,0.364045858,-0.178981692,-0.935146078,0.711641995,-0.58668487,0.387733042,0.804685831,-0.449604034,-0.593152702,0.268377185,-0.550883293
140,37:38.6,1730438819.0,-0.048105478,0.167792737,-0.126839817,-0.942576602,0.713281127,-0.587468771,0.384546578,0.809075058,-0.444434047,-0.459405005,0.156741217,-0.492625892
141,37:38.6,1730438819.0,0.030383438,0.169630527,-0.137664199,-0.948508866,0.712360905,-0.589294892,0.380993515,0.812547207,-0.441147447,-0.275602698,-0.036056999,-0.452818811
142,37:38.6,1730438819.0,0.109599292,0.245847225,-0.179504991,-0.952290002,0.708102029,-0.59387562,0.377110302,0.814745426,-0.440429091,0.055629294,-0.037812557,-0.44929108
143,37:38.6,1730438819.0,0.117445618,0.276987195,-0.192550242,-0.953849978,0.701246824,-0.602471043,0.37326178,0.815648913,-0.442032248,0.306685507,0.073441796,-0.509953916
144,37:38.6,1730438819.0,0.066420704,0.234342754,-0.151224732,-0.954265429,0.693716613,-0.613439706,0.369706005,0.815889239,-0.444569945,0.450185448,0.201531321,-0.511685193
145,37:38.6,1730438820.0,-0.011072397,0.266158104,-0.13825056,-0.953340985,0.685960505,-0.625990865,0.366724223,0.815354347,-0.448007315,0.622849107,0.28544727,-0.49569422
146,37:38.7,1730438820.0,-0.049086899,0.275275767,-0.140028685,-0.951063884,0.677815908,-0.639910148,0.364226609,0.814033866,-0.452424288,0.757388353,0.360189676,-0.475185424
