Sample Rate,Accuracy,Write Precision,Write Recall,Eraor Precision,Eraor Recall,Unknown Precision,Unknown Recall
10,96.44057741744118,1.0,0.9724160311536589,0.8641087130295764,0.8505114083398898,0.9337979094076655,1.0
20,93.76762130879952,1.0,1.0,0.7103357472021067,0.8502758077226162,0.9218106995884774,0.835820895522388
30,98.1225440256149,1.0,1.0,1.0,0.850417439703154,0.9338936148406273,1.0
40,98.1217962673422,1.0,1.0,1.0,0.8503390632392367,0.933862986967733,1.0
50,95.6458922952085,1.0,1.0,0.7424189205011122,1.0,1.0,0.835820895522388
60,92.09065267949923,0.9315420160876262,0.9724852599606932,0.8641975308641975,0.8502918441394541,0.9218865750267512,0.835820895522388
70,98.12162897718838,1.0,1.0,1.0,0.8502918441394541,0.933862986967733,1.0
80,96.44514820129645,1.0,0.9724852599606932,0.8641975308641975,0.8502918441394541,0.933862986967733,1.0
90,95.64550447820278,1.0,1.0,0.7423585899988289,1.0,1.0,0.835820895522388
100,98.12162897718838,1.0,1.0,1.0,0.8502918441394541,0.933862986967733,1.0
